section_type,section_name,element_type,title,content,url,image_url,pdf_url,local_image_path,local_pdf_path
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 31,Issue of Pay Certificates.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 32,"Preparation Bills in respect of Gratuity, Commutation of Pension and Final payment of GPF.",https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 33,Calculation of payment of encashment of leave salary to retiring persons.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 34,Calculation of up-to-date GPF balance of officers and staff who want to withdraw or take advance from their GPF Accounts and issue of certificates in this regard.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 35,Tracing of old missing credits as and when pointed out by the Pay and Accounts Officer or officers and issue of certificate in this behalf.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 36,Budget and accounts work.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 37,Maintenance of appropriation registers for expenditure under different heads/sub-heads.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 38,Maintenance of expenditure control register.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 39,Preparation of annual and supplementary budget of the department.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 40,Periodic review of budgetary expenditure and monitoring of economy instructions.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 41,Preparation of budget loan to Govt. servants(including House Building Advances of the Department).,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 42,To attend the audit objection relating to cash section only.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 43,Submission of quarterly returns to the department of Expenditure.,https://doe.gov.in/administration-i,,,,
Divisions,Accounts and Budget Branch,Bullet Point,Accounts and Budget Branch - Point 44,Reconciliation of Accounts with P.& A.O.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Section Heading,Administration - I,Administration - I,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 1,"All personal cases relating to the officers of the rank of Section Officers and above including that of Gazetted officers working against isolated posts in the Plan Finance Division, FCD, IC, Hindi Section, Pay Research Unit etc.",https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 2,All personal cases of all categories of Stenographers of CSSS and personal Staff of Finance Minister.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 3,Circulation of the various training programmes within the country/abroad and nomination of officers thereof,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 4,Coordination work within Department of Expenditure on verification and re- verification of character and antecedents of staff under the administrative control of Admn.-I Section.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 5,Preparation of Demands in respect of Department of Expenditure and Allocation of funds for the grant of House Building and other advances.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 6,Grant of House Building Advance & Other advances to all categories of Officers/officials whose personal cases are dealt in Admn.I. Branch.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 7,Work relating to vigilance and Disciplinary cases against the officers/staff whose Personal matters are dealt in Admn.I. Branch.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 8,Internal Security arrangements in the Department of Expenditure.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 9,All matter related to CGHS.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 10,Reimbursement of medical expenses whose personal matters are dealt in Admn.I. Branch (Officers/staff and their families) under medical attendance Rules.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 11,Central Secretariat Library and Finance Library membership of officers/staff.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 12,Grant-in-aid for amenities to staff of Department of Expenditure.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 13,Work relating to Elections to Parliament/State Legislatures.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 14,Work relating to collections of donations in respect of Armed Forces Flag Day Red Cross etc.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 15,Collection and Distribution of Republic Day/Independence Day passes and other functions.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 16,Processing and preparing of pension cases and matters connected therewith of all Categories of Officers/officials whose personal cases are dealt in Ad.I. Branch.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 17,Welfare matters of employees of Department of Expenditure.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 18,Grant of honorarium to the officers/staff of the Department of Expenditure.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 19,Matter relating National Institute of Financial Management/Controller General of Accounts/CA(Cost).,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 20,Matters regarding prevention of sexual harassment of women at work Place.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 21,RTI Matters relating to above subjects.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 22,Forwarding of Grievances relating to Department of Expenditure to various sections.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - I,Bullet Point,Administration - I - Point 23,Furnishing of Nomination for various Awards.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Section Heading,Administration - II,Administration - II,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 1,"All service matters including personal cases relating to Assistant Section Officers, SSAs and JSAs and those of Non-Gazetted officers, Gr. B Gazetted officers (SSO) working against isolated posts in the Plan Finance Division, Pay Research Unit, Hindi Section and Finance Canteen.",https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 2,All service matters including personal cases of Group ‘C’ staff and Staff Car Drivers/ Scooter Drivers.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 3,"Framing/amendment of Recruitment Rules for posts in Staff Inspection Unit, Plan Finance Division and Pay Research Unit, Finance Commission Division, Finance Canteen, SCD etc.",https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 4,House Building Advance to Non-Gazetted officers under the administrative control of this branch.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 5,"Periodical Returns relating to Establishment matters, concerning the Branch.",https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 6,Verification and Re-verification of character and antecedents of staff under the administrative control of Admn.II Section.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 7,Functioning as Cell in the Department of Expenditure in respect of reservation for Scheduled Castes and Scheduled Tribes and physically handicapped in Services.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 8,"Authorized permanent strength of JSAs, SSAs and Assistant Section Officer and review of staff strength.",https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 9,Sponsoring candidates for training programmes conducted by ISTM for the Non-Gazetted staff.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 10,Review of cases of Govt. servants to adjudge their fitness for continuance in service beyond the age of 50/55 years or on completion of 30 years of qualifying service in respect of the staff under the administrative control of the Branch.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 11,Processing and preparing of pension cases and matters connected therewith of staff under the administrative control of Ad.II Section.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 12,"Medical claims (permission, reimbursement etc.) of staff under the administrative control of Ad.II Section.",https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 13,Channel of submission – updation,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 14,Preparation of Induction Material,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 15,Compilation/Consolidation of Orders/Instructions etc.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 16,Allocation of Business Rules – Circulation of Amendments/Additions etc.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 17,RTI Matters relating to above subjects.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 18,"Management of Contractual employees i.e. OA, DEO, Worker and Driver etc.",https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 19,Prime Minister’s New 15 point programme for the welfare of Minorities.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 20,"Annual report regarding representation of SC, ST, OBC and PWD.",https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 21,Matter relating to the honorarium.,https://doe.gov.in/administration-i,,,,
Divisions,Administration - II,Bullet Point,Administration - II - Point 22,Management of Finance Canteen and related matters.,https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Section Heading,General Administration Division,General Administration Division,https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 1,Liveries for staff car drivers and MTS employees.,https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 2,Identity Cards and Temporary passes.,https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 3,Maintenance of Conference Room No. 72 and Fresco Room (Room No. 169-D).,https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 4,"Staff Car/ Scooters-purchase, maintenance and use of staff cars.",https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 5,"Purchase, maintenance and issue of office equipments like Computers, Printers, Fax machines, duplicating machines, photocopiers, Calculators, ACs, Furniture items, Heaters, Briefcases, Callbells, Air Purifiers etc.",https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 6,Stationery articles (a) Local Purchase (b) Issue of those items.,https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 7,Printing works & Binding works.,https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 8,Stamps (Rubber & others) and brass seals & name plates.,https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 9,Payments of refreshment bills of official meetings.,https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 10,"Preparation of budget estimates, revised estimates, relating to “Office Expenses” and “IT-OE”.",https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 11,"Issue of ""NO DEMAND"" certificate",https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 12,"Electrical items like Fluorescent tubes, Bulbs, Table Lamps, Table fans, Emergency lights etc.",https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 13,Printing of Directory of Ministry of Finance.,https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 14,Payments for Book/ Periodicals / Newspapers of Reference Library.,https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 15,"Telephones/Inter-com installation, Disconnection and payments of bills.",https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 16,Reimbursement of news-paper bills of the officers.,https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 17,Swachhta Action Plan in respect of Departm,https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 18,Swachhta Action Plan in respect of Department of Expenditure.,https://doe.gov.in/administration-i,,,,
Divisions,General Administration Division,Bullet Point,General Administration Division - Point 19,RTI Matters relating to above subjects.,https://doe.gov.in/administration-i,,,,
Divisions,Caretaking Cell,Section Heading,Caretaking Cell,Caretaking Cell,https://doe.gov.in/administration-i,,,,
Divisions,Caretaking Cell,Bullet Point,Caretaking Cell - Point 1,Opening and closing of Rooms.,https://doe.gov.in/administration-i,,,,
Divisions,Caretaking Cell,Bullet Point,Caretaking Cell - Point 2,Cleaning of Rooms,https://doe.gov.in/administration-i,,,,
Divisions,Caretaking Cell,Bullet Point,Caretaking Cell - Point 3,Liaison with CPWD (Civil) for white washing and repair in the rooms.,https://doe.gov.in/administration-i,,,,
Divisions,Caretaking Cell,Bullet Point,Caretaking Cell - Point 4,Liaison with CPWD (Electrical).,https://doe.gov.in/administration-i,,,,
Divisions,Caretaking Cell,Bullet Point,Caretaking Cell - Point 5,Liaison with Horticulture Department for supply of foliage plants.,https://doe.gov.in/administration-i,,,,
Divisions,Caretaking Cell,Bullet Point,Caretaking Cell - Point 6,"Special attention to Gate No.2, North Block and Ist Floor for cleanliness.",https://doe.gov.in/administration-i,,,,
Divisions,Departmental Record Room (Exp.),Section Heading,Departmental Record Room (Exp.),Departmental Record Room (Exp.),https://doe.gov.in/administration-i,,,,
Divisions,Departmental Record Room (Exp.),Bullet Point,Departmental Record Room (Exp.) - Point 1,To keep old files for preservation.,https://doe.gov.in/administration-i,,,,
Divisions,Departmental Record Room (Exp.),Bullet Point,Departmental Record Room (Exp.) - Point 2,To issue files to Sections for reference.,https://doe.gov.in/administration-i,,,,
Divisions,Departmental Record Room (Exp.),Bullet Point,Departmental Record Room (Exp.) - Point 3,To send files due for review to Sections for review and weeding.,https://doe.gov.in/administration-i,,,,
Divisions,Departmental Record Room (Exp.),Bullet Point,Departmental Record Room (Exp.) - Point 4,To get appraisal of files of more than 25 years old and transfer to National Archives of India.,https://doe.gov.in/administration-i,,,,
Divisions,Departmental Record Room (Exp.),Bullet Point,Departmental Record Room (Exp.) - Point 5,To Monitor (i) report (half-yearly) on de-classification of classified records; (ii) half yearly report on Recording / Indexing / Weeding out of old files and send results to National Archives of India.,https://doe.gov.in/administration-i,,,,
Divisions,Departmental Record Room (Exp.),Bullet Point,Departmental Record Room (Exp.) - Point 6,To send Annual Report on Records etc to National Archives of India.,https://doe.gov.in/administration-i,,,,
