section_type,section_name,element_type,title,content,url,pdf_url,local_pdf_path
Table,RTI Table Section,Row,CPIO Order dated 22.12.2022,Sr. No.: 11 | Title: CPIO Order dated 22.12.2022 | Date: 03/02/2023 | Download: Download (284.43 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=1,https://doe.gov.in/files/rti_services_documents/office_order_dated_22_12_2022_0.pdf,pdfs/office_order_dated_22_12_2022_0.pdf
Table,RTI Table Section,Row,CPIO Order dated 30.01.2023,Sr. No.: 12 | Title: CPIO Order dated 30.01.2023 | Date: 03/02/2023 | Download: Download (301.63 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=1,https://doe.gov.in/files/rti_services_documents/office_order_dated_30_01_2023.pdf,pdfs/office_order_dated_30_01_2023.pdf
Table,RTI Table Section,Row,CPIO Order dated 27.01.2023,Sr. No.: 13 | Title: CPIO Order dated 27.01.2023 | Date: 03/02/2023 | Download: Download (288.82 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=1,https://doe.gov.in/files/rti_services_documents/office_order_dated_27_01_2023.pdf,pdfs/office_order_dated_27_01_2023.pdf
Table,RTI Table Section,Row,CPIO Order dated 29.11.2022,Sr. No.: 14 | Title: CPIO Order dated 29.11.2022 | Date: 03/02/2023 | Download: Download (303.51 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=1,https://doe.gov.in/files/rti_services_documents/office_order_dated_29_11_2022.pdf,pdfs/office_order_dated_29_11_2022.pdf
Table,RTI Table Section,Row,List of CPIOs and FAAs in Department of Expenditure as on 16.11.2022,Sr. No.: 15 | Title: List of CPIOs and FAAs in Department of Expenditure as on 16.11.2022 | Date: 08/12/2023 | Download: Download (1.75 MB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=1,https://doe.gov.in/files/rti_services_documents/CPIO_FAA_List_as_on_16_11_2022.pdf,pdfs/CPIO_FAA_List_as_on_16_11_2022.pdf
Table,RTI Table Section,Row,Updation of the names and addresses of the CPIOs and FAAs in the Department of Expenditure,Sr. No.: 16 | Title: Updation of the names and addresses of the CPIOs and FAAs in the Department of Expenditure | Date: 21/05/2020 | Download: Download (972.23 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=1,https://doe.gov.in/files/rti_services_documents/Updated_list_of_CPIOs_and_FAAs.pdf,pdfs/Updated_list_of_CPIOs_and_FAAs.pdf
Table,RTI Table Section,Row,Nomination of Nodal Officer for CIC Transparency Audit in Department of Expenditure,Sr. No.: 17 | Title: Nomination of Nodal Officer for CIC Transparency Audit in Department of Expenditure | Date: 09/12/2019 | Download: Download (809.64 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=1,https://doe.gov.in/files/rti_services_documents/Nodal_Officer_for_Audit.pdf,pdfs/Nodal_Officer_for_Audit.pdf
Table,RTI Table Section,Row,Updation of the names of CPIOs & FAAs in Department of Expenditure as on 25.11.2019,Sr. No.: 18 | Title: Updation of the names of CPIOs & FAAs in Department of Expenditure as on 25.11.2019 | Date: 09/12/2019 | Download: Download (1.75 MB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=1,https://doe.gov.in/files/rti_services_documents/Updated_CPIOs_FAAs.pdf,pdfs/Updated_CPIOs_FAAs.pdf
Table,RTI Table Section,Row,Updation of the names of CPIOs & FAAs in Department of Expenditure as on 17.06.2019,Sr. No.: 19 | Title: Updation of the names of CPIOs & FAAs in Department of Expenditure as on 17.06.2019 | Date: 30/07/2019 | Download: Download (1.13 MB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=1,https://doe.gov.in/files/rti_services_documents/Changes_in_CPIOs_0.pdf,pdfs/Changes_in_CPIOs_0.pdf
Table,RTI Table Section,Row,List of CPIOs & FAAs in Department of Expenditure as on 12.04.2019 (Hindi),Sr. No.: 20 | Title: List of CPIOs & FAAs in Department of Expenditure as on 12.04.2019 (Hindi) | Date: 23/04/2019 | Download: - | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=1,,
Table,RTI Table Section,Row,Appointment of Nodal Officer in Ministry of Finance,Sr. No.: 21 | Title: Appointment of Nodal Officer in Ministry of Finance | Date: 18/04/2019 | Download: Download (573.86 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=2,https://doe.gov.in/files/rti_services_documents/Appointment_of_Nodal_Officer.pdf,pdfs/Appointment_of_Nodal_Officer.pdf
Table,RTI Table Section,Row,List of CPIOs & FAAs in Department of Expenditure as on 12.04.2019,Sr. No.: 22 | Title: List of CPIOs & FAAs in Department of Expenditure as on 12.04.2019 | Date: 18/04/2019 | Download: Download (2.93 MB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=2,https://doe.gov.in/files/rti_services_documents/List_of_CPIOs_FAAs_in_Department_of_Expenditure_as_on_12_04_2019.pdf,pdfs/List_of_CPIOs_FAAs_in_Department_of_Expenditure_as_on_12_04_2019.pdf
Table,RTI Table Section,Row,List of CPIOs & FAAs in Department of Expenditure as on 05.11.2018,Sr. No.: 23 | Title: List of CPIOs & FAAs in Department of Expenditure as on 05.11.2018 | Date: 13/12/2018 | Download: Download (2.42 MB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=2,https://doe.gov.in/files/rti_services_documents/List_of_CPIOs_FAAs_as_on_05_11_2018_English.pdf,pdfs/List_of_CPIOs_FAAs_as_on_05_11_2018_English.pdf
Table,RTI Table Section,Row,Transparency Audit of Disclosures Under Section 4 of the RTI Act by the Public authorities,Sr. No.: 24 | Title: Transparency Audit of Disclosures Under Section 4 of the RTI Act by the Public authorities | Date: 13/12/2018 | Download: Download (434.63 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=2,https://doe.gov.in/files/rti_services_documents/Transparency_Audit_of_Disclosures_Under_Section_4_of_the_RTI_Act_by_the_Public_authorities_1.pdf,pdfs/Transparency_Audit_of_Disclosures_Under_Section_4_of_the_RTI_Act_by_the_Public_authorities_1.pdf
Table,RTI Table Section,Row,Information in respect of Staff Inspection Unit - RTI reg.,Sr. No.: 25 | Title: Information in respect of Staff Inspection Unit - RTI reg. | Date: 11/10/2018 | Download: Download (406.42 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=2,https://doe.gov.in/files/rti_services_documents/Write_up_of_SIU_English_Version_2_4.pdf,pdfs/Write_up_of_SIU_English_Version_2_4.pdf
Table,RTI Table Section,Row,Brief on Finance Commission Grants,Sr. No.: 26 | Title: Brief on Finance Commission Grants | Date: 25/09/2018 | Download: Download (4.1 MB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=2,https://doe.gov.in/files/rti_services_documents/Brief_of_FCD_1.pdf,pdfs/Brief_of_FCD_1.pdf
Table,RTI Table Section,Row,"Proactive Declaration under Section 4(b) of RTI Act,2005 of Finance Commission Division","Sr. No.: 27 | Title: Proactive Declaration under Section 4(b) of RTI Act,2005 of Finance Commission Division | Date: 25/09/2018 | Download: Download (1.57 MB) | Hyperlink: -",https://doe.gov.in/rti-information-department-of-expenditure?page=2,https://doe.gov.in/files/rti_services_documents/Proactive_Declaration_of_RTI_0.pdf,pdfs/Proactive_Declaration_of_RTI_0.pdf
Table,RTI Table Section,Row,Appointment of Nodal CPIO for RTI Applications and Appeals - reg,Sr. No.: 28 | Title: Appointment of Nodal CPIO for RTI Applications and Appeals - reg | Date: 01/08/2018 | Download: Download (518.19 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=2,https://doe.gov.in/files/rti_services_documents/rti_cpio01082018.pdf,pdfs/rti_cpio01082018.pdf
Table,RTI Table Section,Row,Information under Right to Information (RTI) Act in respect of PF-I,Sr. No.: 29 | Title: Information under Right to Information (RTI) Act in respect of PF-I | Date: - | Download: - | Hyperlink: Information under Right to Information (RTI) Act in respect of PF-I,https://doe.gov.in/rti-information-department-of-expenditure?page=2,,
Table,RTI Table Section,Row,"Right to Information Act, 2005","Sr. No.: 30 | Title: Right to Information Act, 2005 | Date: - | Download: - | Hyperlink: -",https://doe.gov.in/rti-information-department-of-expenditure?page=2,,
Table,RTI Table Section,Row,Information under Right to Information (RTI) Act in respect NIFM,Sr. No.: 31 | Title: Information under Right to Information (RTI) Act in respect NIFM | Date: - | Download: - | Hyperlink: Information under Right to Information (RTI) Act in respect NIFM | Hyperlink: http://www.nifm.ac.in/Site/Index.aspx,https://doe.gov.in/rti-information-department-of-expenditure?page=3,,
Table,RTI Table Section,Row,Information under Right to Information (RTI) Act in respect CPAO,Sr. No.: 32 | Title: Information under Right to Information (RTI) Act in respect CPAO | Date: - | Download: - | Hyperlink: Information under Right to Information (RTI) Act in respect CPAO | Hyperlink: https://cpao.nic.in/php4/Docengine.php?frm=RTI,https://doe.gov.in/rti-information-department-of-expenditure?page=3,,
Table,RTI Table Section,Row,Information under Right to Information (RTI) Act in respect Finance Commission Division,Sr. No.: 33 | Title: Information under Right to Information (RTI) Act in respect Finance Commission Division | Date: - | Download: Download (482.47 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=3,https://doe.gov.in/files/rti_services_documents/rtifcd.pdf,pdfs/rtifcd.pdf
Table,RTI Table Section,Row,Information under Right to Information (RTI) Act in respect of PF-II,Sr. No.: 34 | Title: Information under Right to Information (RTI) Act in respect of PF-II | Date: - | Download: Download (11.45 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=3,https://doe.gov.in/files/rti_services_documents/rtipf2.pdf,pdfs/rtipf2.pdf
Table,RTI Table Section,Row,Information under Right to Information (RTI) Act in respect of Staff Inspection Unit,Sr. No.: 35 | Title: Information under Right to Information (RTI) Act in respect of Staff Inspection Unit | Date: - | Download: Download (73.97 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=3,https://doe.gov.in/files/rti_services_documents/rtiSIU.pdf,pdfs/rtiSIU.pdf
Table,RTI Table Section,Row,"Opening of Counters for receiving application as per RTI Act, 2005","Sr. No.: 36 | Title: Opening of Counters for receiving application as per RTI Act, 2005 | Date: 17/11/2005 | Download: Download (4.89 KB) | Hyperlink: -",https://doe.gov.in/rti-information-department-of-expenditure?page=3,https://doe.gov.in/files/rti_services_documents/rticount%20%281%29.pdf,pdfs/rticount%20%281%29.pdf
Table,RTI Table Section,Row,Decentralization of RTI related work in Personnel Division of Department of Expenditure,Sr. No.: 37 | Title: Decentralization of RTI related work in Personnel Division of Department of Expenditure | Date: 21/01/2011 | Download: Download (11.39 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=3,https://doe.gov.in/files/rti_services_documents/decenterwork_personneldiv.pdf,pdfs/decenterwork_personneldiv.pdf
Table,RTI Table Section,Row,Consolidated Annual Report for the year 2009-2010 ( upto March 2010) in respect of Department of Expenditure,Sr. No.: 38 | Title: Consolidated Annual Report for the year 2009-2010 ( upto March 2010) in respect of Department of Expenditure | Date: 23/02/2011 | Download: Download (95.98 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=3,https://doe.gov.in/files/rti_services_documents/annual_report_200910.pdf,pdfs/annual_report_200910.pdf
Table,RTI Table Section,Row,"Quarterly summary for all CPIOs in Department of Expenditure for the quarter ending June, September, December2010 & March2011.","Sr. No.: 39 | Title: Quarterly summary for all CPIOs in Department of Expenditure for the quarter ending June, September, December2010 & March2011. | Date: - | Download: Download (703.98 KB) | Hyperlink: -",https://doe.gov.in/rti-information-department-of-expenditure?page=3,https://doe.gov.in/files/rti_services_documents/rti_quarterly_summ_2010_2011.pdf,pdfs/rti_quarterly_summ_2010_2011.pdf
Table,RTI Table Section,Row,Nomination of Transparency Officer,Sr. No.: 40 | Title: Nomination of Transparency Officer | Date: 22/07/2011 | Download: Download (501.7 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=3,https://doe.gov.in/files/rti_services_documents/transparency_officer_exp.pdf,pdfs/transparency_officer_exp.pdf
Table,RTI Table Section,Row,"Compendium on Right to Information Act, 2005","Sr. No.: 41 | Title: Compendium on Right to Information Act, 2005 | Date: 28/01/2014 | Download: - | Hyperlink: Compendium on Right to Information Act, 2005",https://doe.gov.in/rti-information-department-of-expenditure?page=4,,
Table,RTI Table Section,Row,More about RTI ACT,Sr. No.: 42 | Title: More about RTI ACT | Date: 15/06/2005 | Download: - | Hyperlink: More about RTI ACT | Hyperlink: http://righttoinformation.gov.in/webactrti.htm,https://doe.gov.in/rti-information-department-of-expenditure?page=4,,
Table,RTI Table Section,Row,Nomination of Nodal Officer for receiving RTI applications in Ministry of Finance,Sr. No.: 43 | Title: Nomination of Nodal Officer for receiving RTI applications in Ministry of Finance | Date: 05/05/2014 | Download: Download (111 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=4,https://doe.gov.in/files/rti_services_documents/nodalofficer_RTI_MoF_1.pdf,pdfs/nodalofficer_RTI_MoF_1.pdf
Table,RTI Table Section,Row,"Regarding reply of this Department dated 13.05.2014 in regard to the application of Ms. Divya V.V. received under RTI Act, 2005","Sr. No.: 44 | Title: Regarding reply of this Department dated 13.05.2014 in regard to the application of Ms. Divya V.V. received under RTI Act, 2005 | Date: 11/06/2014 | Download: Download (1.82 MB) | Hyperlink: -",https://doe.gov.in/rti-information-department-of-expenditure?page=4,https://doe.gov.in/files/rti_services_documents/reply_rtiquery_VVDivya13052014.pdf,pdfs/reply_rtiquery_VVDivya13052014.pdf
Table,RTI Table Section,Row,Suo moto disclosure under Section (4) of Right to Information Act 2005 - Nomination of Nodal Officer,Sr. No.: 45 | Title: Suo moto disclosure under Section (4) of Right to Information Act 2005 - Nomination of Nodal Officer | Date: 13/06/2014 | Download: Download (114.99 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=4,https://doe.gov.in/files/rti_services_documents/Nomination_Nodalofficer13062014.pdf,pdfs/Nomination_Nodalofficer13062014.pdf
Table,RTI Table Section,Row,Suo moto (Proactive) Disclosure under Section 4(1)(b) of Right to Information Act 2005 - Lifting of Temporary ban on cadre review/ cadre restructuring,Sr. No.: 46 | Title: Suo moto (Proactive) Disclosure under Section 4(1)(b) of Right to Information Act 2005 - Lifting of Temporary ban on cadre review/ cadre restructuring | Date: 05/08/2014 | Download: Download (259.48 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=4,https://doe.gov.in/files/rti_services_documents/OM_LiftingBan_cadreReview07011999_0.pdf,pdfs/OM_LiftingBan_cadreReview07011999_0.pdf
Table,RTI Table Section,Row,Nomination of CPIO in respect of Pay Research Unit (PRU),Sr. No.: 47 | Title: Nomination of CPIO in respect of Pay Research Unit (PRU) | Date: 06/08/2014 | Download: Download (120.32 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=4,https://doe.gov.in/files/rti_services_documents/cpio_PRU_exp.pdf,pdfs/cpio_PRU_exp.pdf
Table,RTI Table Section,Row,"Appointment of Shri Pijush Mohanta, US(Vig.) during the period of absence of CPIO in respect of Pay Research Unit (PRU)","Sr. No.: 48 | Title: Appointment of Shri Pijush Mohanta, US(Vig.) during the period of absence of CPIO in respect of Pay Research Unit (PRU) | Date: 29/10/2014 | Download: Download (118.03 KB) | Hyperlink: -",https://doe.gov.in/rti-information-department-of-expenditure?page=4,https://doe.gov.in/files/rti_services_documents/cpio_PRU_exp_absence29102014.pdf,pdfs/cpio_PRU_exp_absence29102014.pdf
Table,RTI Table Section,Row,Appointment of Appellate Authority and CPIO in respect of Swachch Bharat Kosh,Sr. No.: 49 | Title: Appointment of Appellate Authority and CPIO in respect of Swachch Bharat Kosh | Date: 08/12/2014 | Download: Download (609.74 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=4,https://doe.gov.in/files/rti_services_documents/AA_cpio_SwachchBharatKosh_exp.pdf,pdfs/AA_cpio_SwachchBharatKosh_exp.pdf
Table,RTI Table Section,Row,Shri Amar Nath Singh DS(E.III-A) is designated as First Appellate Authority in respect of E.V Branch in addition to E.V. Branch,Sr. No.: 50 | Title: Shri Amar Nath Singh DS(E.III-A) is designated as First Appellate Authority in respect of E.V Branch in addition to E.V. Branch | Date: 06/05/2015 | Download: Download (193.11 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=4,https://doe.gov.in/files/rti_services_documents/AA_EV_Brach_exp.pdf,pdfs/AA_EV_Brach_exp.pdf
Table,RTI Table Section,Row,Nomination of First Appellate Authority and CPIO in respect of Plan Finance - I Division,Sr. No.: 51 | Title: Nomination of First Appellate Authority and CPIO in respect of Plan Finance - I Division | Date: 18/08/2015 | Download: Download (249.41 KB) | Hyperlink: -,https://doe.gov.in/rti-information-department-of-expenditure?page=5,https://doe.gov.in/files/rti_services_documents/cpio_PF1_exp.pdf,pdfs/cpio_PF1_exp.pdf
Table,RTI Table Section,Row,"Updated List of Central Public Information Officer(CPIOs) and First Appellate Authority (FAAs) as on1st March, 2016","Sr. No.: 52 | Title: Updated List of Central Public Information Officer(CPIOs) and First Appellate Authority (FAAs) as on1st March, 2016 | Date: 01/03/2016 | Download: Download (300.53 KB) | Hyperlink: -",https://doe.gov.in/rti-information-department-of-expenditure?page=5,https://doe.gov.in/files/rti_services_documents/noteCPIO_1.pdf,pdfs/noteCPIO_1.pdf
