section_type,section_name,sr_no,office_memorandum_no,title,date,pdf_label,pdf_size,pdf_url,local_pdf_path,page_url
Current,Procurement Policy/O.M,11,No.F.1/3/2024-PPD,"Amendment in General Financial Rules, 2017",10/07/2024,Download,851.13 KB,https://doe.gov.in/files/circulars_document/OM_1_3_2024_PPD_dated_10_07_2024.pdf,pdfs/Current_sr11_OM_1_3_2024_PPD_dated_10_07_2024.pdf,https://doe.gov.in/orders-circulars/459?page=1
Current,Procurement Policy/O.M,12,No.F.13/2/2024-PPD,Training Programs on Public Procurement for CPSE Officers at Indian Institute of Management Visakhapatnam (IIMV),02/07/2024,Download,952.9 KB,https://doe.gov.in/files/circulars_document/OM02_07_2024_0.pdf,pdfs/Current_sr12_OM02_07_2024_0.pdf,https://doe.gov.in/orders-circulars/459?page=1
Current,Procurement Policy/O.M,13,No.F.4/1/2023-PPD(pt.),Relaxation under Rule 161(iv) of General Financial Rules 2017 for issuance of Global Tender Enquiry (GTE) for procurement of Medical Devices,28/06/2024,Download,2.9 MB,https://doe.gov.in/files/circulars_document/OM28_06_2024.pdf,pdfs/Current_sr13_OM28_06_2024.pdf,https://doe.gov.in/orders-circulars/459?page=1
Current,Procurement Policy/O.M,14,No. 4/1/2023-PPD,Relaxation under Rule 161(iv) of General Financial Rules 2017 for issuance of Global Tender Enquiry (GTE) for procurement of Drugs,07/06/2024,Download,1.88 MB,https://doe.gov.in/files/circulars_document/Relaxation_under_Rule_161_iv_of_General_Financial_Rules_2017_for_issuance_of_Global_Tender_Enquiry_GTE_for_procurement_of_Drugs_reg.pdf,pdfs/Current_sr14_Relaxation_under_Rule_161_iv_of_General_Financial_Rules_2017_for_issuance_of_Global_Tender_Enquiry_GTE_for_procurement_of_Drugs_reg.pdf,https://doe.gov.in/orders-circulars/459?page=1
Current,Procurement Policy/O.M,15,No.F. 1/2/2024-PPD,Guidelines for Arbitration and Mediation in Contracts of Domestic PublicProcurement - reg.,03/06/2024,Download,5.28 MB,https://doe.gov.in/files/circulars_document/Guidelines_for_Arbitration_and_Mediation_in_Contracts_of_Domestic_Public_Procurement.pdf,pdfs/Current_sr15_Guidelines_for_Arbitration_and_Mediation_in_Contracts_of_Domestic_Public_Procurement.pdf,https://doe.gov.in/orders-circulars/459?page=1
Current,Procurement Policy/O.M,16,No.F.13/1/2023-PPD,"Training Programs on Public Procurement for Government officers at Administrative Staff College of India (ASCI), Hyderabad.",02/04/2024,Download,5.02 MB,https://doe.gov.in/files/circulars_document/Training_Programs_on_Public_Procurement_for_Government_officers_at_Administrative_Staff_College_of_India_ASCI_Hyderabad_1.pdf,pdfs/Current_sr16_Training_Programs_on_Public_Procurement_for_Government_officers_at_Administrative_Staff_College_of_India_ASCI_Hyderabad_1.pdf,https://doe.gov.in/orders-circulars/459?page=1
Current,Procurement Policy/O.M,17,No.F.1/1/2021-PPD,Amendment in General Instructions on Procurement and Project Management,08/03/2024,Download,94.56 KB,https://doe.gov.in/files/circulars_document/Amendment_in_General_Instructions_on_Procurement_and_Project_Management.pdf,pdfs/Current_sr17_Amendment_in_General_Instructions_on_Procurement_and_Project_Management.pdf,https://doe.gov.in/orders-circulars/459?page=1
Current,Procurement Policy/O.M,18,No.F.1/4(2)/2023-PPD,Seeking feedback from Stakeholders on Draft Manuals for Procurement of Consultancy Services & Non - Consultancy Services - 2024.,27/02/2024,Download,934.02 KB,https://doe.gov.in/files/circulars_document/Seeking_feedback_from_Stakeholders_on_Draft_Manuals_for_Procurement_of_Consultancy_Services_Non_Consultancy_Services_2024.pdf,pdfs/Current_sr18_Seeking_feedback_from_Stakeholders_on_Draft_Manuals_for_Procurement_of_Consultancy_Services_Non_Consultancy_Services_2024.pdf,https://doe.gov.in/orders-circulars/459?page=1
Current,Procurement Policy/O.M,19,No.F.1/4(2)/2023-PPD,Seeking feedback from Stakeholders on Draft Manual for Procurement of Non-Consultancy Services - 2024,22/02/2024,Download,90.39 KB,https://doe.gov.in/files/circulars_document/Seeking_feedback_from_Stakeholders_on_Draft_Manual_for_Procurement_of_Non_Consultancy_Services_2024_0.pdf,pdfs/Current_sr19_Seeking_feedback_from_Stakeholders_on_Draft_Manual_for_Procurement_of_Non_Consultancy_Services_2024_0.pdf,https://doe.gov.in/orders-circulars/459?page=1
Current,Procurement Policy/O.M,20,No.F.13/1/2022-PPD,"Training Programs on Public Procurement for Government officers at Arun Jaitley National Institute of Financial Management (AJNIFM), Faridabad",12/02/2024,Download,132.98 KB,https://doe.gov.in/files/circulars_document/Training_Programs_on_Public_Procurement_for_Government_officers_at_Arun_Jaitley_National_Institute_of_Financial_Management_AJNIFM_Faridabad_0.pdf,pdfs/Current_sr20_Training_Programs_on_Public_Procurement_for_Government_officers_at_Arun_Jaitley_National_Institute_of_Financial_Management_AJNIFM_Faridabad_0.pdf,https://doe.gov.in/orders-circulars/459?page=1
Current,Procurement Policy/O.M,21,No.F.1/7/2022-PPD,Vivad Se Vishwas II (Contractual Disputes) - Clarification reg.,17/01/2024,Download,1.83 MB,https://doe.gov.in/files/circulars_document/Vivad_Se_Vishwas_II_Contractual_Disputes_Clarification_reg.pdf,pdfs/Current_sr21_Vivad_Se_Vishwas_II_Contractual_Disputes_Clarification_reg.pdf,https://doe.gov.in/orders-circulars/459?page=2
Current,Procurement Policy/O.M,22,No.F.6/1/2023-PPD,Manpower Outsourcing contracts based on minimum wages - Clarification reg,17/01/2024,Download,304.02 KB,https://doe.gov.in/files/circulars_document/Manpower_Outsourcing_contracts_based_on_minimum_wages_Clarification_reg.pdf,pdfs/Current_sr22_Manpower_Outsourcing_contracts_based_on_minimum_wages_Clarification_reg.pdf,https://doe.gov.in/orders-circulars/459?page=2
Current,Procurement Policy/O.M,23,No.F.1/2/2023-PPD,"Amendment in General Financial Rules, 2017 Rule 171 (i) - Performance Security Regarding",01/01/2024,Download,664.45 KB,https://doe.gov.in/files/circulars_document/Amendment_in_General_Financial_Rules_2017_Rule_171_i_Performance_Security_Regarding.pdf,pdfs/Current_sr23_Amendment_in_General_Financial_Rules_2017_Rule_171_i_Performance_Security_Regarding.pdf,https://doe.gov.in/orders-circulars/459?page=2
Current,Procurement Policy/O.M,24,No.F.11/11/2023-PPD,Vivad se Vishwas I Relief for MSMEs - Extension,01/01/2024,Download,5.81 MB,https://doe.gov.in/files/circulars_document/Vivad_se_Vishwas_I_Relief_for_MSMEs.pdf,pdfs/Current_sr24_Vivad_se_Vishwas_I_Relief_for_MSMEs.pdf,https://doe.gov.in/orders-circulars/459?page=2
Current,Procurement Policy/O.M,25,No.F.1/7/2022-PPD,Vivad se Vishwas II (Contractual Disputes) Extension,29/12/2023,Download,8.77 MB,https://doe.gov.in/files/circulars_document/Vivad_se_Vishwas_II_Contractual_Disputes_2.pdf,pdfs/Current_sr25_Vivad_se_Vishwas_II_Contractual_Disputes_2.pdf,https://doe.gov.in/orders-circulars/459?page=2
Current,Procurement Policy/O.M,26,No.F.4/1/2023-PPD,Relaxation for procurement of certain items through Global Tender Enquiry (GTE) - Medical Devices and Drugs reg.,19/12/2023,Download,10.43 MB,https://doe.gov.in/files/circulars_document/OM_No_4_1_2023_PPD_I_dated_19_12_2023.pdf,pdfs/Current_sr26_OM_No_4_1_2023_PPD_I_dated_19_12_2023.pdf,https://doe.gov.in/orders-circulars/459?page=2
Current,Procurement Policy/O.M,27,No.F.1/4/2023-PPD,"Seeking feedback from Stakeholders on Draft Manual for Procurement of Goods, 2nd Edition",17/11/2023,Download,1.03 MB,https://doe.gov.in/files/circulars_document/Seeking_feedback_from_Stakeholders_on_DraftManual_for_Procurement_of_Goods_2nd_Edition.pdf,pdfs/Current_sr27_Seeking_feedback_from_Stakeholders_on_DraftManual_for_Procurement_of_Goods_2nd_Edition.pdf,https://doe.gov.in/orders-circulars/459?page=2
Current,Procurement Policy/O.M,28,No.F .1/7/2022-PPD,Vivad se Vishwas II (Contractual Disputes) Extension,09/11/2023,Download,1.33 MB,https://doe.gov.in/files/circulars_document/Vivad_se_Vishwas_II_Contractual_Disputes_Extension.pdf,pdfs/Current_sr28_Vivad_se_Vishwas_II_Contractual_Disputes_Extension.pdf,https://doe.gov.in/orders-circulars/459?page=2
Current,Procurement Policy/O.M,29,No.F.3/26/2023-PPD,Quality-cum-Cost Based Selection (QCBS) Method in Procurement of Works and Non-Consultancy Services (NCS).,01/11/2023,Download,9.72 MB,https://doe.gov.in/files/circulars_document/Quality_cum_Cost_Based_Selection_QCBS_Method_in_Procurement_of_Works_and_Non_Consultancy_Services_NCS.pdf,pdfs/Current_sr29_Quality_cum_Cost_Based_Selection_QCBS_Method_in_Procurement_of_Works_and_Non_Consultancy_Services_NCS.pdf,https://doe.gov.in/orders-circulars/459?page=2
Current,Procurement Policy/O.M,30,No.F.6/5/2023-PPD,Uploading/Sharing of Contract Award details on electronic Portals,23/10/2023,Download,578.11 KB,https://doe.gov.in/files/circulars_document/Uploading_Sharing_of_Contract_Award_details_on_electronic_Portals_0.pdf,pdfs/Current_sr30_Uploading_Sharing_of_Contract_Award_details_on_electronic_Portals_0.pdf,https://doe.gov.in/orders-circulars/459?page=2
Current,Procurement Policy/O.M,31,No.F.8/78/2023-PPD,Participation of demerged entities in public procurement opportunities.,12/10/2023,Download,73.6 KB,https://doe.gov.in/files/circulars_document/Participation_of_demerged_entities_in_public_procurement_opportunities_0.pdf,pdfs/Current_sr31_Participation_of_demerged_entities_in_public_procurement_opportunities_0.pdf,https://doe.gov.in/orders-circulars/459?page=3
Current,Procurement Policy/O.M,32,No.F.7/10/2021-PPD,Restrictions on procurement from bidders from a country or countries or class or countries on grounds of defence of India,11/09/2023,Download,57.24 KB,https://doe.gov.in/files/circulars_document/OM_No_7_10_2021_PPD_dated_11_09_2023.pdf,pdfs/Current_sr32_OM_No_7_10_2021_PPD_dated_11_09_2023.pdf,https://doe.gov.in/orders-circulars/459?page=3
Current,Procurement Policy/O.M,33,No.F.1/1/2023-PPD,Vivad se Vishwas I (VsV I) Relief for MSMEs,18/07/2023,Download,2.14 MB,https://doe.gov.in/files/circulars_document/Vivad_se_Vishwas_I_VsV_I_Relief_for_MSMEs_0.pdf,pdfs/Current_sr33_Vivad_se_Vishwas_I_VsV_I_Relief_for_MSMEs_0.pdf,https://doe.gov.in/orders-circulars/459?page=3
Current,Procurement Policy/O.M,34,No.F.6/1/2023-PPD,Minimum Floor price for minimum wage based Manpower Outsourcing Service,23/06/2023,Download,213.65 KB,https://doe.gov.in/files/circulars_document/Minimum_Floor_price_for_minimum_wage_based_Manpower_Outsourcing_Service_0.pdf,pdfs/Current_sr34_Minimum_Floor_price_for_minimum_wage_based_Manpower_Outsourcing_Service_0.pdf,https://doe.gov.in/orders-circulars/459?page=3
Current,Procurement Policy/O.M,35,No.F.1/1/2023-PPD,Vivad Se Vishwas I - Relief for MSMES - Inclusion of Earning Contracts,15/06/2023,Download,413.27 KB,https://doe.gov.in/files/circulars_document/Vivad_Se_Vishwas_I_Relief_for_MSMES_Inclusion_of_Earning_Contracts.pdf,pdfs/Current_sr35_Vivad_Se_Vishwas_I_Relief_for_MSMES_Inclusion_of_Earning_Contracts.pdf,https://doe.gov.in/orders-circulars/459?page=3
Current,Procurement Policy/O.M,36,No.F.13/1/2022-PPD,Model Tender  Document for  Procurement of  Consultancy  Services,08/06/2023,Download,1.96 MB,https://doe.gov.in/files/circulars_document/Training_Programs_on_Public_Procurement_for_Government_officers_at_Arun_Jaitley_National_Institute_of_Financial_Management_AJNIFM_Faridabad_1.pdf,pdfs/Current_sr36_Training_Programs_on_Public_Procurement_for_Government_officers_at_Arun_Jaitley_National_Institute_of_Financial_Management_AJNIFM_Faridabad_1.pdf,https://doe.gov.in/orders-circulars/459?page=3
Current,Procurement Policy/O.M,37,No.F.1/1/2023-PPD,Vivad Se Vishwas I - Relief for MSMEs -Amendments,02/06/2023,Download,626.97 KB,https://doe.gov.in/files/circulars_document/Vivad_Se_Vishwas_I_Relief_for_MSMEs_Amendments_dated_02_06_2023.pdf,pdfs/Current_sr37_Vivad_Se_Vishwas_I_Relief_for_MSMEs_Amendments_dated_02_06_2023.pdf,https://doe.gov.in/orders-circulars/459?page=3
Current,Procurement Policy/O.M,38,No.F.13/1/2023-PPD,"Training Programs on Public Procurement for Government officers at Administrative Staff College of India (ASCI), Hyderabad",02/06/2023,Download,2.85 MB,https://doe.gov.in/files/circulars_document/Training_Programs_on_Public_Procurement_for_Government_officers_at_Administrative_Staff_College_of_India_ASCI_Hyderabad_0.pdf,pdfs/Current_sr38_Training_Programs_on_Public_Procurement_for_Government_officers_at_Administrative_Staff_College_of_India_ASCI_Hyderabad_0.pdf,https://doe.gov.in/orders-circulars/459?page=3
Current,Procurement Policy/O.M,39,No.F.1/7/2022-PPD,Vivad se Vishwas II (Contractual Disputes),29/05/2023,Download,4.99 MB,https://doe.gov.in/files/circulars_document/Vivad_se_Vishwas_II_Contractual_Disputes_0.pdf,pdfs/Current_sr39_Vivad_se_Vishwas_II_Contractual_Disputes_0.pdf,https://doe.gov.in/orders-circulars/459?page=3
Current,Procurement Policy/O.M,40,No.F.1/6/2023-PPD,Proportionality in Performance Security for multiyear service contracts,24/05/2023,Download,1.56 MB,https://doe.gov.in/files/circulars_document/Proportionality_in_Performance_Security_for_multiyear_service_contracts.pdf,pdfs/Current_sr40_Proportionality_in_Performance_Security_for_multiyear_service_contracts.pdf,https://doe.gov.in/orders-circulars/459?page=3
Current,Procurement Policy/O.M,41,-,Model Tender  Document for  Procurement of  Consultancy  Services,18/05/2023,Download,6.95 MB,https://doe.gov.in/files/circulars_document/Model_Tender_Document_for_Procurement_of_Consultancy_Services_2_2.pdf,pdfs/Current_sr41_Model_Tender_Document_for_Procurement_of_Consultancy_Services_2_2.pdf,https://doe.gov.in/orders-circulars/459?page=4
Current,Procurement Policy/O.M,42,No.F.1/4/2021-PPD,"Concurrent  application of Public  Procurement Policy  for Micro and Small  Enterprises Order,  2012 and Public  Procurement  (Preference to Make  in India) Order, 2017",18/05/2023,Download,1.25 MB,https://doe.gov.in/files/circulars_document/Concurrent_application_of_Public_Procurement_Policy_for_Micro_and_Small_Enterprises_Order_2012_and_Public_Procurement_Preference_to_Make_in_India_Order_2017_0.pdf,pdfs/Current_sr42_Concurrent_application_of_Public_Procurement_Policy_for_Micro_and_Small_Enterprises_Order_2012_and_Public_Procurement_Preference_to_Make_in_India_Order_2017_0.pdf,https://doe.gov.in/orders-circulars/459?page=4
Current,Procurement Policy/O.M,43,No.F.1/1/2023-PPD,Vivad Se Vishwas I- Relief for MSMEs:  Revised Order,11/04/2023,Download,1.04 MB,https://doe.gov.in/files/circulars_document/Vivad_Se_Vishwa_I_Relief_for_MSMEs_dated_11_04_2023.pdf,pdfs/Current_sr43_Vivad_Se_Vishwa_I_Relief_for_MSMEs_dated_11_04_2023.pdf,https://doe.gov.in/orders-circulars/459?page=4
Current,Procurement Policy/O.M,44,No.F.1/1/2023-PPD,Vivad Se Vishwas I- Relief for MSME,10/04/2023,Download,243.16 KB,https://doe.gov.in/files/circulars_document/Vivad_Se_Vishwas_I_Relief_for_MSMEs_dated_10_04_2023_0.pdf,pdfs/Current_sr44_Vivad_Se_Vishwas_I_Relief_for_MSMEs_dated_10_04_2023_0.pdf,https://doe.gov.in/orders-circulars/459?page=4
Current,Procurement Policy/O.M,45,No.F.1/2/2023-PPD,"Amendment in General  Financial Rules, 2017  Rule 171 (i)  Performance Security  regarding",03/04/2023,Download,715.57 KB,https://doe.gov.in/files/circulars_document/Amendment_in_General_Financial_Rules_2017_Rule_171_Performance_Security_regarding_0.pdf,pdfs/Current_sr45_Amendment_in_General_Financial_Rules_2017_Rule_171_Performance_Security_regarding_0.pdf,https://doe.gov.in/orders-circulars/459?page=4
Current,Procurement Policy/O.M,46,No.F.4/1/2023-PPD,Relaxation for  procurement of certain  items through Global  Tender Enquiry (GTE),03/04/2023,Download,5.25 MB,https://doe.gov.in/files/circulars_document/Relaxation_for_procurement_of_certain_items_through_Global_Tender_Enquiry_GTE_0.pdf,pdfs/Current_sr46_Relaxation_for_procurement_of_certain_items_through_Global_Tender_Enquiry_GTE_0.pdf,https://doe.gov.in/orders-circulars/459?page=4
Current,Procurement Policy/O.M,47,No.F.7/10/2021-PPD,"Amendment to Rule  144(xi) of the General  Financial Rules  (GFRs), 2017",23/02/2023,Download,77.39 KB,https://doe.gov.in/files/circulars_document/Amendment_to_Rule_144_xi_of_the_General_Financial_Rules_GFRs_2017_0.pdf,pdfs/Current_sr47_Amendment_to_Rule_144_xi_of_the_General_Financial_Rules_GFRs_2017_0.pdf,https://doe.gov.in/orders-circulars/459?page=4
Current,Procurement Policy/O.M,48,No.F.7/10/2021-PPD(1),"Order (Public  Procurement No. 4) -  Restrictions under  Rule 144(xi) of the  General Financial  Rules (GFRs), 2017",23/02/2023,Download,1.4 MB,https://doe.gov.in/files/circulars_document/Order_Public_Procurement_No_4_Restrictions_under_Rule_144_xi_of_the_General_Financial_Rules_GFRs_2017_0.pdf,pdfs/Current_sr48_Order_Public_Procurement_No_4_Restrictions_under_Rule_144_xi_of_the_General_Financial_Rules_GFRs_2017_0.pdf,https://doe.gov.in/orders-circulars/459?page=4
Current,Procurement Policy/O.M,49,No.F.1/7/2022-PPD,Draft Scheme for  stakeholder  consultation : Vivad se  Vishwas II (Contractual  Disputes),08/02/2023,Download,1.16 MB,https://doe.gov.in/files/circulars_document/Draft_Scheme_for_stakeholder_consultation_Vivad_se_Vishwas_II_Contractual_Disputes_0.pdf,pdfs/Current_sr49_Draft_Scheme_for_stakeholder_consultation_Vivad_se_Vishwas_II_Contractual_Disputes_0.pdf,https://doe.gov.in/orders-circulars/459?page=4
Current,Procurement Policy/O.M,50,No.F.1/1/2023-PPD,Vivad Se Vishwas I -  Relief for MSMEs,06/02/2023,Download,219.86 KB,https://doe.gov.in/files/circulars_document/Vivad_Se_Vishwas_I_Relief_for_MSMEs_dated_06_02_2023_0.pdf,pdfs/Current_sr50_Vivad_Se_Vishwas_I_Relief_for_MSMEs_dated_06_02_2023_0.pdf,https://doe.gov.in/orders-circulars/459?page=4
Current,Procurement Policy/O.M,51,No.F.13/1/2022-PPD,"Training Programs on  Public Procurement for  Government officers at  Arun Jaitley National  Institute of Financial  Management  (AJNIFM), Faridabad",06/02/2023,Download,1.96 MB,https://doe.gov.in/files/circulars_document/Training_Programs_on_Public_Procurement_for_Government_officers_at_Arun_Jaitley_National_Institute_of_Financial_Management_AJNIFM_Faridabad.pdf,pdfs/Current_sr51_Training_Programs_on_Public_Procurement_for_Government_officers_at_Arun_Jaitley_National_Institute_of_Financial_Management_AJNIFM_Faridabad.pdf,https://doe.gov.in/orders-circulars/459?page=5
Current,Procurement Policy/O.M,52,No.F.6/7/2022-PPD,Push Button  Procurement,11/01/2023,Download,52.72 KB,https://doe.gov.in/files/circulars_document/Push_Button_Procurement_2.pdf,pdfs/Current_sr52_Push_Button_Procurement_2.pdf,https://doe.gov.in/orders-circulars/459?page=5
Current,Procurement Policy/O.M,53,No.F .4/1/2022-PPD(pt.),Relaxation on Global Tender Enquiry (GTE) under Rule 161(iv) of General Financial Rules (GFRs) 2017- relaxation of 90 drug/medicines reg.,25/11/2022,Download,2.94 MB,https://doe.gov.in/files/circulars_document/Relaxation_on_Global_Tender_Enquiry_GTE_under_Rule_161_iv_of_General_Financial_Rules_GFRs_2017_relaxation_of_90_drugmedicines_reg.pdf,pdfs/Current_sr53_Relaxation_on_Global_Tender_Enquiry_GTE_under_Rule_161_iv_of_General_Financial_Rules_GFRs_2017_relaxation_of_90_drugmedicines_reg.pdf,https://doe.gov.in/orders-circulars/459?page=5
Current,Procurement Policy/O.M,54,F.No 1/5/2022- PPD,Manual for  Procurement of Works  - updated 2022 -  Amendment to para  7.6.3,28/09/2022,Download,121.61 KB,https://doe.gov.in/files/circulars_document/Manual_for_Procurement_of_Works_updated_2022_Amendment_to_para_7_6_3_0.pdf,pdfs/Current_sr54_Manual_for_Procurement_of_Works_updated_2022_Amendment_to_para_7_6_3_0.pdf,https://doe.gov.in/orders-circulars/459?page=5
Current,Procurement Policy/O.M,55,No.F.6/7/2022-PPD,Push Button Procurement,06/09/2022,Download,733.76 KB,https://doe.gov.in/files/circulars_document/Push_Button_Procurement.pdf,pdfs/Current_sr55_Push_Button_Procurement.pdf,https://doe.gov.in/orders-circulars/459?page=5
Current,Procurement Policy/O.M,56,F.No.1/4/2022-PPD,Amendment in General Financial Rules 2017 - Acceptance of electronic Bank Guarantee,05/08/2022,Download,488.77 KB,https://doe.gov.in/files/circulars_document/Amendment_in_General_Financial_Rules_2017_Acceptance_of_electronic_Bank_Guarantee.pdf,pdfs/Current_sr56_Amendment_in_General_Financial_Rules_2017_Acceptance_of_electronic_Bank_Guarantee.pdf,https://doe.gov.in/orders-circulars/459?page=5
Current,Procurement Policy/O.M,57,F.No.1/1/2021-PPD,Corrigendum - Updated Manual for Procurement of Works,04/08/2022,Download,178.24 KB,https://doe.gov.in/files/circulars_document/Corrigendum_Updated_Manual_for_Procurement_of_Works.pdf,pdfs/Current_sr57_Corrigendum_Updated_Manual_for_Procurement_of_Works.pdf,https://doe.gov.in/orders-circulars/459?page=5
Current,Procurement Policy/O.M,58,F.No1/10/2021-PPD,Seeking inputs from stakeholders on Draft Model Tender Documents for procurement of Consultancy Services,01/08/2022,Download,1.03 MB,https://doe.gov.in/files/circulars_document/Seeking_inputs_from_stakeholders_on_Draft_Model_Tender_Documents.pdf,pdfs/Current_sr58_Seeking_inputs_from_stakeholders_on_Draft_Model_Tender_Documents.pdf,https://doe.gov.in/orders-circulars/459?page=5
Current,Procurement Policy/O.M,59,-,Manual for Procurement of Works,01/07/2022,Download,4.03 MB,https://doe.gov.in/files/circulars_document/Manual_for_Procurement_of_Works.pdf,pdfs/Current_sr59_Manual_for_Procurement_of_Works.pdf,https://doe.gov.in/orders-circulars/459?page=5
Current,Procurement Policy/O.M,60,-,Manual for Procurement of Consultancy & Other Services,01/07/2022,Download,4.26 MB,https://doe.gov.in/files/circulars_document/Manual_for_Procurement_of_Consultancy_Other_Services.pdf,pdfs/Current_sr60_Manual_for_Procurement_of_Consultancy_Other_Services.pdf,https://doe.gov.in/orders-circulars/459?page=5
Current,Procurement Policy/O.M,61,-,Manual for Procurement of Goods,01/07/2022,Download,5.13 MB,https://doe.gov.in/files/circulars_document/Manual_for_Procurement_of_Goods_1.pdf,pdfs/Current_sr61_Manual_for_Procurement_of_Goods_1.pdf,https://doe.gov.in/orders-circulars/459?page=6
Current,Procurement Policy/O.M,62,F.No.4/1/2022-PPD(pt),Relaxation on Global Tender Enquiry under Rule 161 iv of General Financial Rules for procurement of Medical Devices,21/06/2022,Download,2.27 MB,https://doe.gov.in/files/circulars_document/Relaxation_on_Global_Tender_Enquiry_under_Rule_161_iv_2.pdf,pdfs/Current_sr62_Relaxation_on_Global_Tender_Enquiry_under_Rule_161_iv_2.pdf,https://doe.gov.in/orders-circulars/459?page=6
Current,Procurement Policy/O.M,63,F.No.1/1/2021-PPD,"Withdrawal of offer by L1 - Amendment to Manual for Procurement of Goods, 2017 and Manual for Procurement of Works, 2019",21/04/2022,Download,447.85 KB,https://doe.gov.in/files/circulars_document/Withdrawal_of_offer_by_L1_Amendment_to_Manual_for_Procurement_of_Goods_2017.pdf,pdfs/Current_sr63_Withdrawal_of_offer_by_L1_Amendment_to_Manual_for_Procurement_of_Goods_2017.pdf,https://doe.gov.in/orders-circulars/459?page=6
Current,Procurement Policy/O.M,64,F.No.1/2/2022-PPD,Amendment to General Financial Rules 2017 to include stagewise return of Bid Security / Earnest Money Deposit to bidders in the tendering process,01/04/2022,Download,324.34 KB,https://doe.gov.in/files/circulars_document/Amendment_to_General_Financial_Rules_2017_to_include_stagewise_return_of_Bid_SecuritY.pdf,pdfs/Current_sr64_Amendment_to_General_Financial_Rules_2017_to_include_stagewise_return_of_Bid_SecuritY.pdf,https://doe.gov.in/orders-circulars/459?page=6
Current,Procurement Policy/O.M,65,F.No.1/1/2022-PPD,Amendment to General Financial Rules 2017 to include Insurance Surety Bonds as Security Instrument,02/02/2022,Download,482.86 KB,https://doe.gov.in/files/circulars_document/Amendment_to_General_Financial_Rules_2017_0.pdf,pdfs/Current_sr65_Amendment_to_General_Financial_Rules_2017_0.pdf,https://doe.gov.in/orders-circulars/459?page=6
